age,income,recency,total_spending,total_purchases,customer_value_group,recency_risk_group,actual_response,response_probability,predicted_response,propensity_decile,recommended_action
58,71670,8,1766,14,Very high value,Recently active,1,0.938813,1,10,VIP priority: send high-value personalized offer
74,82800,23,1315,25,Very high value,Recently active,1,0.937197,1,10,VIP priority: send high-value personalized offer
48,80134,40,1690,14,Very high value,Moderate recency,1,0.93679,1,10,VIP priority: send high-value personalized offer
44,75825,40,2209,22,Very high value,Moderate recency,1,0.93598,1,10,VIP priority: send high-value personalized offer
63,78618,87,2153,21,Very high value,Very high recency risk,1,0.935833,1,10,VIP priority: send high-value personalized offer
53,77766,97,1529,32,Very high value,Very high recency risk,1,0.933805,1,10,VIP priority: send high-value personalized offer
55,81051,43,1501,22,Very high value,Moderate recency,1,0.93285,1,10,VIP priority: send high-value personalized offer
53,77766,97,1529,32,Very high value,Very high recency risk,1,0.93266,1,10,VIP priority: send high-value personalized offer
55,70924,41,1363,19,Very high value,Moderate recency,1,0.932583,1,10,VIP priority: send high-value personalized offer
55,70924,41,1363,19,Very high value,Moderate recency,1,0.932138,1,10,VIP priority: send high-value personalized offer
37,90687,98,1779,16,Very high value,Very high recency risk,1,0.93185,1,10,VIP priority: send high-value personalized offer
33,51563,60,1250,18,Very high value,High recency,1,0.93068,1,10,VIP priority: send high-value personalized offer
29,90273,32,1991,18,Very high value,Moderate recency,1,0.930595,1,10,VIP priority: send high-value personalized offer
40,76412,15,1808,17,Very high value,Recently active,1,0.929037,1,10,VIP priority: send high-value personalized offer
43,61996,27,1230,18,Very high value,Moderate recency,1,0.928123,1,10,VIP priority: send high-value personalized offer
67,70503,73,1727,15,Very high value,High recency,1,0.927947,1,10,VIP priority: send high-value personalized offer
39,91065,33,1474,25,Very high value,Moderate recency,1,0.927932,1,10,VIP priority: send high-value personalized offer
38,79908,30,1772,18,Very high value,Moderate recency,1,0.927731,1,10,VIP priority: send high-value personalized offer
73,77632,73,2252,12,Very high value,High recency,1,0.927621,1,10,VIP priority: send high-value personalized offer
51,67369,81,1461,21,Very high value,Very high recency risk,1,0.92754,1,10,VIP priority: send high-value personalized offer
76,80184,19,1902,19,Very high value,Recently active,1,0.927538,1,10,VIP priority: send high-value personalized offer
42,85738,41,1371,20,Very high value,Moderate recency,1,0.926744,1,10,VIP priority: send high-value personalized offer
