index,income,kidhome,teenhome,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntregularprods,mntgoldprods,mnttotal,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,complain,age,customer_days,marital_status,education,response,total_spending,mntwines_share,mntfruits_share,mntmeatproducts_share,mntfishproducts_share,mntsweetproducts_share,mntgoldprods_share,total_purchases,avg_ticket_proxy,web_purchase_share,catalog_purchase_share,store_purchase_share,deal_purchase_share,web_visit_to_purchase_ratio,children_total,family_size_proxy,customer_segment,customer_segment_name
1036,23718,1,0,76,6,3,14,15,7,9,36,45,3,3,1,2,7,0,44,2459,Married,2n Cycle,0,81,0.07407407407407407,0.037037037037037035,0.1728395061728395,0.18518518518518517,0.08641975308641975,0.4444444444444444,6,13.5,0.5,0.16666666666666666,0.3333333333333333,0.5,1.75,1,2,2,Promotion-sensitive customers
1037,42429,0,1,99,55,0,6,2,0,59,4,63,2,1,1,3,5,0,47,2297,Widow,Graduation,0,67,0.8208955223880597,0.0,0.08955223880597014,0.029850746268656716,0.0,0.05970149253731343,5,13.4,0.2,0.2,0.6,0.4,2.5,1,2,1,Balanced customers
1038,48948,0,0,53,437,8,206,160,49,818,42,860,2,7,10,5,6,0,77,2672,Divorced,PHD,1,902,0.4844789356984479,0.008869179600886918,0.22838137472283815,0.17738359201773837,0.05432372505543237,0.04656319290465632,22,41.0,0.3181818181818182,0.45454545454545453,0.22727272727272727,0.09090909090909091,0.75,0,1,0,High-income potential customers
1039,80011,0,1,3,421,76,536,82,178,1191,102,1293,2,8,6,5,4,0,40,2585,Married,Graduation,0,1395,0.3017921146953405,0.05448028673835126,0.3842293906810036,0.05878136200716846,0.12759856630824373,0.07311827956989247,19,73.42105263157895,0.42105263157894735,0.3157894736842105,0.2631578947368421,0.10526315789473684,0.4444444444444444,1,2,0,High-income potential customers
1040,20559,1,0,88,13,1,29,3,0,39,7,46,2,2,0,3,8,0,35,2633,Married,Master,0,53,0.24528301886792453,0.018867924528301886,0.5471698113207547,0.05660377358490566,0.0,0.1320754716981132,5,10.6,0.4,0.0,0.6,0.4,2.6666666666666665,1,2,2,Promotion-sensitive customers
1041,21994,0,1,4,9,0,6,3,1,16,3,19,1,0,0,3,5,0,63,2711,Together,Graduation,0,22,0.4090909090909091,0.0,0.2727272727272727,0.13636363636363635,0.045454545454545456,0.13636363636363635,3,7.333333333333333,0.0,0.0,1.0,0.3333333333333333,5.0,1,2,2,Promotion-sensitive customers
1042,7500,1,0,19,3,1,10,3,2,7,12,19,3,2,0,3,5,0,45,2429,Married,Master,0,31,0.0967741935483871,0.03225806451612903,0.3225806451612903,0.0967741935483871,0.06451612903225806,0.3870967741935484,5,6.2,0.4,0.0,0.6,0.6,1.6666666666666667,1,2,2,Promotion-sensitive customers
1043,79941,0,0,72,123,164,266,227,30,636,174,810,1,2,4,9,1,0,44,2160,Single,Graduation,0,984,0.125,0.16666666666666666,0.2703252032520325,0.2306910569105691,0.03048780487804878,0.17682926829268292,15,65.6,0.13333333333333333,0.26666666666666666,0.6,0.06666666666666667,0.3333333333333333,0,1,0,High-income potential customers
1044,7500,0,0,24,3,18,14,15,22,22,50,72,3,3,1,3,9,0,24,2756,Married,2n Cycle,0,122,0.02459016393442623,0.14754098360655737,0.11475409836065574,0.12295081967213115,0.18032786885245902,0.4098360655737705,7,17.428571428571427,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.42857142857142855,2.25,0,1,2,Promotion-sensitive customers
1045,41728,1,0,92,13,6,15,3,5,29,13,42,1,2,0,2,10,0,52,2560,Together,Graduation,0,55,0.23636363636363636,0.10909090909090909,0.2727272727272727,0.05454545454545454,0.09090909090909091,0.23636363636363636,4,13.75,0.5,0.0,0.5,0.25,3.3333333333333335,1,2,2,Promotion-sensitive customers
1046,72550,1,1,39,826,50,317,50,38,1243,38,1281,9,5,2,12,8,0,66,2757,Married,PHD,0,1319,0.6262319939347991,0.03790750568612585,0.2403335860500379,0.03790750568612585,0.02880970432145565,0.02880970432145565,19,69.42105263157895,0.2631578947368421,0.10526315789473684,0.631578947368421,0.47368421052631576,1.3333333333333333,2,3,1,Balanced customers
1047,65486,0,1,29,245,19,125,37,67,479,14,493,1,4,2,10,2,0,63,2207,Widow,Graduation,0,507,0.4832347140039448,0.03747534516765286,0.2465483234714004,0.07297830374753451,0.13214990138067062,0.027613412228796843,16,31.6875,0.25,0.125,0.625,0.0625,0.4,1,2,1,Balanced customers
1048,79143,0,0,2,650,37,780,27,167,1629,32,1661,1,6,9,13,3,0,56,2846,Married,Master,0,1693,0.38393384524512697,0.021854695806261076,0.4607206142941524,0.01594802126402835,0.09864146485528648,0.018901358535144713,28,60.464285714285715,0.21428571428571427,0.32142857142857145,0.4642857142857143,0.03571428571428571,0.42857142857142855,0,1,0,High-income potential customers
1049,35790,1,0,54,12,6,20,30,1,66,3,69,2,2,0,3,7,0,43,2702,Single,Graduation,0,72,0.16666666666666666,0.08333333333333333,0.2777777777777778,0.4166666666666667,0.013888888888888888,0.041666666666666664,5,14.4,0.4,0.0,0.6,0.4,2.3333333333333335,1,2,2,Promotion-sensitive customers
1050,82582,0,0,54,510,120,550,156,40,1135,241,1376,1,4,9,7,1,0,43,2181,Divorced,Graduation,1,1617,0.31539888682745826,0.07421150278293136,0.3401360544217687,0.09647495361781076,0.024737167594310452,0.14904143475572046,20,80.85,0.2,0.45,0.35,0.05,0.2,0,1,0,High-income potential customers
1051,66373,1,1,57,328,9,124,12,24,388,109,497,7,4,2,10,3,0,42,2541,Married,Graduation,0,606,0.5412541254125413,0.01485148514851485,0.20462046204620463,0.019801980198019802,0.039603960396039604,0.17986798679867988,16,37.875,0.25,0.125,0.625,0.4375,0.6,2,3,1,Balanced customers
1052,82384,0,0,55,984,51,432,180,120,1577,190,1767,1,3,10,13,1,0,65,2746,Together,Master,1,1957,0.5028104241185488,0.026060296371997957,0.22074603985692387,0.09197751660705161,0.061318344404701075,0.0970873786407767,26,75.26923076923077,0.11538461538461539,0.38461538461538464,0.5,0.038461538461538464,0.25,0,1,0,High-income potential customers
1053,70287,0,0,30,295,35,482,121,120,1013,40,1053,1,5,5,10,3,0,54,2612,Divorced,Graduation,0,1093,0.2698993595608417,0.03202195791399817,0.4409881061299177,0.11070448307410796,0.10978956999085086,0.036596523330283626,20,54.65,0.25,0.25,0.5,0.05,0.5,0,1,0,High-income potential customers
1054,27938,1,0,31,13,0,8,2,1,19,5,24,1,1,0,4,3,0,32,2221,Single,Graduation,0,29,0.4482758620689655,0.0,0.27586206896551724,0.06896551724137931,0.034482758620689655,0.1724137931034483,5,5.8,0.2,0.0,0.8,0.2,1.5,1,2,2,Promotion-sensitive customers
1055,55954,0,1,63,447,0,28,0,0,432,43,475,3,8,2,6,7,0,52,2277,Married,PHD,0,518,0.862934362934363,0.0,0.05405405405405406,0.0,0.0,0.08301158301158301,16,32.375,0.5,0.125,0.375,0.1875,0.7777777777777778,1,2,1,Balanced customers
1056,75777,0,0,12,712,26,538,69,13,1278,80,1358,1,3,6,11,1,0,38,2519,Single,Master,1,1438,0.4951321279554937,0.01808066759388039,0.3741307371349096,0.04798331015299027,0.009040333796940195,0.055632823365785816,20,71.9,0.15,0.3,0.55,0.05,0.25,0,1,0,High-income potential customers
1057,66653,1,1,18,452,18,102,16,18,600,6,606,4,4,2,12,3,0,45,2819,Together,Graduation,0,612,0.738562091503268,0.029411764705882353,0.16666666666666666,0.026143790849673203,0.029411764705882353,0.00980392156862745,18,34.0,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.6,2,3,1,Balanced customers
1058,61823,0,1,26,523,7,134,37,14,546,169,715,4,8,2,10,7,0,68,2655,Single,Graduation,0,884,0.5916289592760181,0.007918552036199095,0.1515837104072398,0.0418552036199095,0.01583710407239819,0.19117647058823528,20,44.2,0.4,0.1,0.5,0.2,0.7777777777777778,1,2,1,Balanced customers
1059,67680,0,1,8,546,0,48,0,6,594,6,600,1,7,3,8,5,0,69,2542,Widow,PHD,0,606,0.900990099009901,0.0,0.07920792079207921,0.0,0.009900990099009901,0.009900990099009901,18,33.666666666666664,0.3888888888888889,0.16666666666666666,0.4444444444444444,0.05555555555555555,0.625,1,2,1,Balanced customers
1060,70666,0,0,29,398,40,367,119,122,1016,30,1046,1,7,4,4,4,0,72,2364,Together,Graduation,0,1076,0.36988847583643125,0.03717472118959108,0.34107806691449816,0.11059479553903345,0.11338289962825279,0.027881040892193308,15,71.73333333333333,0.4666666666666667,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.5,0,1,0,High-income potential customers
1061,25721,1,0,75,1,3,6,3,6,4,15,19,1,1,1,2,7,0,49,2563,Married,Graduation,0,34,0.029411764705882353,0.08823529411764706,0.17647058823529413,0.08823529411764706,0.17647058823529413,0.4411764705882353,4,8.5,0.25,0.25,0.5,0.25,3.5,1,2,2,Promotion-sensitive customers
1062,32474,1,1,0,10,0,1,0,0,11,0,11,1,1,0,2,7,0,53,2208,Together,Graduation,0,11,0.9090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,3,3.6666666666666665,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,3.5,2,3,1,Balanced customers
1063,88194,0,1,19,688,14,309,201,24,1198,38,1236,1,11,10,10,5,0,41,2261,Single,2n Cycle,1,1274,0.5400313971742543,0.01098901098901099,0.2425431711145997,0.1577708006279435,0.018838304552590265,0.029827315541601257,31,41.096774193548384,0.3548387096774194,0.3225806451612903,0.3225806451612903,0.03225806451612903,0.4166666666666667,1,2,0,High-income potential customers
1064,69096,0,1,4,247,49,159,7,82,435,109,544,1,5,2,10,4,0,62,2434,Together,Graduation,0,653,0.3782542113323124,0.07503828483920368,0.2434915773353752,0.010719754977029096,0.12557427258805512,0.1669218989280245,17,38.411764705882355,0.29411764705882354,0.11764705882352941,0.5882352941176471,0.058823529411764705,0.6666666666666666,1,2,1,Balanced customers
1065,74854,1,2,90,856,59,487,58,29,1416,73,1489,7,2,5,5,5,0,50,2606,Together,Graduation,0,1562,0.5480153649167734,0.03777208706786172,0.3117797695262484,0.03713188220230474,0.01856594110115237,0.04673495518565941,12,130.16666666666666,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.5833333333333334,1.6666666666666667,3,4,0,High-income potential customers
1066,66991,0,0,1,496,36,460,189,60,1229,12,1241,3,4,8,6,3,0,66,2815,Married,Master,0,1253,0.39584996009577017,0.028731045490822026,0.3671189146049481,0.15083798882681565,0.047885075818036714,0.009577015163607342,18,69.61111111111111,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.16666666666666666,0.6,0,1,0,High-income potential customers
1067,65031,0,1,29,258,107,291,84,37,691,86,777,4,10,3,13,7,0,61,2628,Married,Graduation,0,863,0.2989571263035921,0.12398609501738123,0.33719582850521435,0.09733487833140209,0.04287369640787949,0.0996523754345307,26,33.19230769230769,0.38461538461538464,0.11538461538461539,0.5,0.15384615384615385,0.6363636363636364,1,2,0,High-income potential customers
1068,60631,1,1,88,565,6,65,0,6,623,19,642,5,9,2,8,7,0,45,2609,Married,PHD,1,661,0.8547655068078669,0.009077155824508321,0.09833585476550681,0.0,0.009077155824508321,0.028744326777609682,19,34.78947368421053,0.47368421052631576,0.10526315789473684,0.42105263157894735,0.2631578947368421,0.7,2,3,1,Balanced customers
1069,28332,0,0,58,14,10,13,4,15,47,9,56,1,2,1,4,2,0,68,2219,Married,Graduation,0,65,0.2153846153846154,0.15384615384615385,0.2,0.06153846153846154,0.23076923076923078,0.13846153846153847,7,9.285714285714286,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.6666666666666666,0,1,2,Promotion-sensitive customers
1070,40246,1,0,68,2,1,6,2,1,11,1,12,1,1,0,2,6,0,43,2716,Divorced,Graduation,0,13,0.15384615384615385,0.07692307692307693,0.46153846153846156,0.15384615384615385,0.07692307692307693,0.07692307692307693,3,4.333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,3.0,1,2,2,Promotion-sensitive customers
1071,75251,0,0,34,721,111,925,97,18,1854,18,1872,1,7,6,5,5,0,48,2830,Married,Master,0,1890,0.3814814814814815,0.05873015873015873,0.4894179894179894,0.051322751322751325,0.009523809523809525,0.009523809523809525,18,105.0,0.3888888888888889,0.3333333333333333,0.2777777777777778,0.05555555555555555,0.625,0,1,0,High-income potential customers
1072,75825,0,0,40,1032,105,779,137,105,2107,51,2158,0,5,8,9,4,0,44,2784,Single,Graduation,1,2209,0.46717971933001357,0.047532820280669984,0.35264825712992304,0.06201901312811227,0.047532820280669984,0.023087369850611137,22,100.4090909090909,0.22727272727272727,0.36363636363636365,0.4090909090909091,0.0,0.6666666666666666,0,1,0,High-income potential customers
1073,26326,0,0,12,1,0,5,0,3,0,9,9,1,0,0,3,3,1,44,2457,Together,2n Cycle,0,18,0.05555555555555555,0.0,0.2777777777777778,0.0,0.16666666666666666,0.5,3,6.0,0.0,0.0,1.0,0.3333333333333333,3.0,0,1,2,Promotion-sensitive customers
1074,56046,0,0,9,577,0,64,0,0,590,51,641,2,10,1,8,8,0,55,2702,Together,Graduation,1,692,0.8338150289017341,0.0,0.09248554913294797,0.0,0.0,0.07369942196531792,19,36.421052631578945,0.5263157894736842,0.05263157894736842,0.42105263157894735,0.10526315789473684,0.7272727272727273,0,1,1,Balanced customers
1075,29760,1,0,87,64,4,68,7,5,131,17,148,4,3,1,4,8,0,35,2828,Single,Graduation,0,165,0.3878787878787879,0.024242424242424242,0.4121212121212121,0.04242424242424243,0.030303030303030304,0.10303030303030303,8,20.625,0.375,0.125,0.5,0.5,2.0,1,2,2,Promotion-sensitive customers
1076,26304,1,0,5,4,1,5,2,0,8,4,12,1,1,0,2,7,0,51,2530,Married,Graduation,0,16,0.25,0.0625,0.3125,0.125,0.0,0.25,3,5.333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,3.5,1,2,2,Promotion-sensitive customers
1077,23559,1,0,87,25,5,19,7,0,33,23,56,3,3,0,3,7,0,47,2520,Married,2n Cycle,0,79,0.31645569620253167,0.06329113924050633,0.24050632911392406,0.08860759493670886,0.0,0.2911392405063291,6,13.166666666666666,0.5,0.0,0.5,0.5,1.75,1,2,2,Promotion-sensitive customers
1078,38620,0,0,56,112,17,44,34,22,140,89,229,1,2,5,3,3,0,57,2573,Together,Master,0,318,0.3522012578616352,0.05345911949685535,0.13836477987421383,0.1069182389937107,0.06918238993710692,0.279874213836478,10,31.8,0.2,0.5,0.3,0.1,1.0,0,1,0,High-income potential customers
1079,81361,0,0,18,163,23,424,27,65,626,76,702,1,3,10,13,1,0,33,2283,Divorced,Graduation,0,778,0.2095115681233933,0.02956298200514139,0.5449871465295629,0.03470437017994859,0.08354755784061697,0.09768637532133675,26,29.923076923076923,0.11538461538461539,0.38461538461538464,0.5,0.038461538461538464,0.25,0,1,0,High-income potential customers
1080,29440,1,1,95,17,8,14,10,4,50,3,53,2,1,0,4,7,0,60,2481,Married,Graduation,0,56,0.30357142857142855,0.14285714285714285,0.25,0.17857142857142858,0.07142857142857142,0.05357142857142857,5,11.2,0.2,0.0,0.8,0.4,3.5,2,3,2,Promotion-sensitive customers
1081,36138,1,1,48,130,0,16,0,0,141,5,146,5,3,1,4,7,0,50,2507,Married,Master,1,151,0.8609271523178808,0.0,0.10596026490066225,0.0,0.0,0.033112582781456956,8,18.875,0.375,0.125,0.5,0.625,1.75,2,3,1,Balanced customers
1082,50388,0,1,3,292,6,37,0,3,304,34,338,4,6,1,6,7,0,63,2191,Single,Graduation,1,372,0.7849462365591398,0.016129032258064516,0.09946236559139784,0.0,0.008064516129032258,0.0913978494623656,13,28.615384615384617,0.46153846153846156,0.07692307692307693,0.46153846153846156,0.3076923076923077,1.0,1,2,1,Balanced customers
